,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,355360 Tapiratiba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,Barretos,XIV,BARRETOS,355365 Taquaral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,Araraquara,XII,ARARAQUARA,355370 Taquaritinga,1,0,7,10,14,22,24,34,50,63,72,121,156,289,315,164,23,1365
6,Bauru,XVI,BOTUCATU,355380 Taquarituba,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
16,Sorocaba,XXXII,ITAPEVA,355385 Taquarivaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,355390 Tarabaí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,355395 Tarumã,0,0,0,0,0,0,0,1,0,0,1,3,4,10,33,18,9,79
16,Sorocaba,XXXI,SOROCABA,355400 Tatuí,0,0,0,1,0,0,0,2,1,0,1,2,0,0,1,2,2,12
17,Taubaté,XXXIII,TAUBATÉ,355410 Taubaté,0,0,1,1,0,2,3,1,1,1,3,2,4,1,3,4,3,30
6,Bauru,XVI,BOTUCATU,355420 Tejupá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,355430 Teodoro Sampaio,1,0,0,0,0,0,0,0,2,6,6,1,1,1,9,5,13,45
5,Barretos,XIV,BARRETOS,355440 Terra Roxa,7,3,5,13,15,24,35,13,9,19,7,1,2,1,0,1,2,157
16,Sorocaba,XXXI,SOROCABA,355450 Tietê,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,355460 Timburi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,355465 Torre de Pedra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XV,BAURU,355470 Torrinha,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,5
3,Araraquara,XII,ARARAQUARA,355475 Trabiju,0,0,0,0,1,1,2,1,3,3,3,6,3,3,0,5,0,31
17,Taubaté,XXXIII,TAUBATÉ,355480 Tremembé,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
15,São José do Rio Preto,XXX,JALES,355490 Três Fronteiras,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
7,Campinas,XVII,CAMPINAS,355495 Tuiuti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,355500 Tupã,0,0,5,11,9,19,11,23,32,36,83,152,203,253,369,92,17,1315
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,355510 Tupi Paulista,6,5,11,14,14,17,17,18,13,17,23,13,5,12,14,14,6,219
2,Araçatuba,XI,ARAÇATUBA,355520 Turiúba,0,0,0,0,0,1,1,0,0,0,0,4,3,7,5,15,8,44
15,São José do Rio Preto,XXX,JALES,355530 Turmalina,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,8
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355535 Ubarana,0,3,1,12,11,22,30,27,27,23,17,21,25,22,23,39,11,314
17,Taubaté,XXVIII,CARAGUATATUBA,355540 Ubatuba,0,0,0,1,0,2,6,12,7,9,18,18,19,34,61,46,22,255
9,Marília,XIX,MARÍLIA,355550 Ubirajara,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355560 Uchoa,25,23,27,33,33,50,56,49,26,8,15,7,10,18,8,2,1,391
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355570 União Paulista,2,4,22,10,17,18,6,4,5,6,3,4,3,1,0,3,1,109
15,São José do Rio Preto,XXX,JALES,355580 Urânia,1,1,0,1,0,2,1,4,2,5,8,4,2,1,2,5,9,48
6,Bauru,XV,BAURU,355590 Uru,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,5
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355600 Urupês,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,1,1,13
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355610 Valentim Gentil,1,1,1,7,4,5,4,1,4,5,13,15,17,11,1,1,13,104
7,Campinas,XVII,CAMPINAS,355620 Valinhos,1,0,0,2,0,1,0,2,2,4,3,1,3,3,10,5,2,39
2,Araçatuba,XI,ARAÇATUBA,355630 Valparaíso,0,0,0,0,0,3,1,0,2,6,1,3,2,7,3,2,1,31
7,Campinas,XVII,CAMPINAS,355635 Vargem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,355640 Vargem Grande do Sul,0,0,0,0,0,1,4,10,11,5,12,7,19,20,34,34,46,203
1,São Paulo,X,OSASCO,355645 Vargem Grande Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7,Campinas,XVII,CAMPINAS,355650 Várzea Paulista,0,0,0,0,0,0,1,0,3,3,10,19,23,13,22,25,24,143
9,Marília,XIX,MARÍLIA,355660 Vera Cruz,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,1,7
7,Campinas,XVII,CAMPINAS,355670 Vinhedo,0,0,0,0,0,0,1,1,3,0,2,3,1,4,9,2,7,33
5,Barretos,XIV,BARRETOS,355680 Viradouro,0,0,0,0,0,1,1,1,0,0,0,4,4,3,4,5,5,28
5,Barretos,XIV,BARRETOS,355690 Vista Alegre do Alto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,São José do Rio Preto,XXX,JALES,355695 Vitória Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,355700 Votorantim,0,0,1,0,0,2,1,1,4,4,12,9,17,17,13,11,11,103
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355710 Votuporanga,4,4,6,10,15,37,24,36,56,35,52,90,93,119,118,211,213,1123
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,355715 Zacarias,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0,0,0,9
9,Marília,XIII,ASSIS,355720 Chavantes,0,0,0,0,0,0,0,0,0,1,2,7,1,0,2,12,7,32
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,355730 Estiva Gerbi,0,0,0,0,0,1,4,3,5,7,5,7,8,5,8,5,1,59
