SOURCE,TARGET,WEIGHT
56239,5047,2.5833333333333334E-4
65758,5051,2.5833333333333334E-4
78805,5067,0.0055
94251,5067,0.0055
77786,5075,2.5833333333333334E-4
48941,5090,0.055944055944055944
89243,5101,2.5833333333333334E-4
47806,5103,2.5833333333333334E-4
48497,5154,2.5833333333333334E-4
5760,5161,0.0055
52459,5162,2.5833333333333334E-4
39983,5169,2.5833333333333334E-4
24596,5171,2.5833333333333334E-4
8572,5185,2.5833333333333334E-4
53546,5204,2.5833333333333334E-4
47314,5219,2.5833333333333334E-4
48036,5244,0.055944055944055944
27604,5255,2.5833333333333334E-4
64427,5270,2.5833333333333334E-4
43532,5317,2.5833333333333334E-4
45203,5318,2.5833333333333334E-4
67518,5346,2.5833333333333334E-4
57269,5365,0.0055
92450,5372,2.5833333333333334E-4
85683,5409,0.0055
6324,5417,0.040356083086053415
11355,5419,2.5833333333333334E-4
56815,5429,2.5833333333333334E-4
40099,5455,0.0055
22814,5494,2.5833333333333334E-4
9247,5497,2.5833333333333334E-4
70413,5508,0.0055
18341,5534,0.021505376344086023
74009,5535,0.0055
63726,5539,2.5833333333333334E-4
41084,5550,0.040356083086053415
49375,5551,0.0055
92809,5618,2.5833333333333334E-4
70554,5666,0.021505376344086023
48352,5719,2.5833333333333334E-4
97140,5789,2.5833333333333334E-4
81637,5841,0.040356083086053415
27550,5847,2.5833333333333334E-4
12560,5850,2.5833333333333334E-4
92450,5855,2.5833333333333334E-4
61143,5861,2.5833333333333334E-4
52187,5867,2.5833333333333334E-4
57276,5898,2.5833333333333334E-4
77786,5908,2.5833333333333334E-4
53780,5916,0.021505376344086023
57390,5924,2.5833333333333334E-4
77786,5932,2.5833333333333334E-4
43532,5944,2.5833333333333334E-4
55726,5957,0.040356083086053415
92450,5960,2.5833333333333334E-4
40958,5973,2.5833333333333334E-4
18665,5990,2.5833333333333334E-4
43532,6042,2.5833333333333334E-4
65758,6056,2.5833333333333334E-4
42896,6058,2.5833333333333334E-4
23874,6102,2.5833333333333334E-4
77786,6105,2.5833333333333334E-4
